Requirement Name,Found in Document,Doc ID,Requirement Section,Requirement Text,Supported by (Activity),Act ID,Grounded By (Requirement),Is Grounding (Requirement),Req ID (is grounding),Applies to (Asset Class),Class ID,Reg Fully Grounded,Req ID,TO REMOVE: Document Name,Class Attributes Note,TO REMOVE 🕝Frequency,TO REMOVE Performed By (Trade),TO REMOVE - URL,Work Comments,Name Text,📕 Source Document
"Ontario Regulation 851/90, Section: 51. (1) (b)",,,51. (1) (b),"O. Reg 851 S 51 (1) - A lifting device shall be, 
(b) thoroughly examined by a competent person to determine its capability of handling the maximum load as rated
i) prior to being used for the first time, and
ii) thereafter as often as necessary but not less frequently than recommended by the manufacturer and in any case, at least once a year, and a permanent record shall be kept, signed by the competent person doing the examination. 
Refer to General Inspection Requirements Document for Detail",https://www.notion.so/Fixed-Crane-6953615380794822aeda42b7d44ec99f,6953615380794822aeda42b7d44ec99f,"https://www.notion.so/CSA-B167-16-Section-6-4-1-a43259f529d542098ab47625bf5edb71, https://www.notion.so/CSA-B167-16-Section-6-4-2-e718332fd61241d183067953feca4f25, https://www.notion.so/CSA-B167-16-Section-6-5-2-f091049861c941b79d38dc77967cead0",,,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,7b50cdbb21e24ff49e1054bac3a6dd60,Maybe,4383725d390e44519d1894276d64710d,Ontario Regulation 851/90,,"As per manufacturer, and at least once a year, prior to use
#freqIn{AssetManual}",Contractor,https://www.ontario.ca/laws/regulation/900851,TH4.28: yellow highlight is not applied to a specialized part. ,"Ontario Regulation 851/90, Section: 51. (1) (b)",https://www.notion.so/Ontario-Regulation-851-90-8a3c2b21ee154fec84a5ebec71dcea79
"Ontario Regulation 851/90, Section: 51. (1) (b)",,,51. (1) (b),"O. Reg 851 S 51 (1) - A lifting device shall be, 
(b) thoroughly examined by a competent person to determine its capability of handling the maximum load as rated
i) prior to being used for the first time, and
ii) thereafter as often as necessary but not less frequently than recommended by the manufacturer and in any case, at least once a year, and a permanent record shall be kept, signed by the competent person doing the examination. 
Refer to General Inspection Requirements Document for Detail",https://www.notion.so/Forklift-Hourly-a56b5da3bf834c29a73bc7c29660eea9,a56b5da3bf834c29a73bc7c29660eea9,"https://www.notion.so/CSA-B335-15-Section-8-4-2-4ea54cdcaa254e67b2bfd5f7554a17d0, https://www.notion.so/CSA-B335-15-Section-8-2-3-97d4c71906a6464a90168d51011349cc",,,https://www.notion.so/forklift-c8f9f61245874c79b021444f950c804f,c8f9f61245874c79b021444f950c804f,Yes,66b52dd8077b4725bc183b998d66c207,Ontario Regulation 851/90,,"As per manufacturer, and at least once a year, prior to use
#perOEM",Contractor,https://www.ontario.ca/laws/regulation/900851,An activity to keep the maintenance record is present in the activity sheet. ,"Ontario Regulation 851/90, Section: 51. (1) (b)",
"CSA B167-16, Section: 6.4.1",,,6.4.1,"6.4 Frequent inspection
6.4.1 General
The crane shall be inspected for defects, malfunctions, and damage at the intervals specified in Items a) to d), and shall be observed during operation to identify any problems that arise between periodic inspections. Visual and audible examinations shall be recorded in the maintenance log book (i.e., paper or electronic) or crane management software program by a competent person with findings of deficiencies at the following intervals:
a) Class A (standby or infrequent service) and Class B (light service): monthly;
b) Classes C and D (moderate and heavy service): weekly to monthly;
c) Classes E and F (severe and continuously service): daily to weekly; and
d) Special service: as recommended by the manufacturer or an engineer.","https://www.notion.so/Fixed-Crane-Inspection-bfb5b4e819a94499a3bb1bb618994017, https://www.notion.so/Fixed-Crane-Weekly-Inspection-08c353a243364638895481287b9d9047, https://www.notion.so/Fixed-Crane-Monthly-Inspection-21def28741d041418116651f7b507a16, https://www.notion.so/Fixed-Crane-Daily-Inspection-0a7e6a23ecca42eea75e880971cb5c6d","bfb5b4e819a94499a3bb1bb618994017,08c353a243364638895481287b9d9047,21def28741d041418116651f7b507a16,0a7e6a23ecca42eea75e880971cb5c6d",,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-4383725d390e44519d1894276d64710d,4383725d390e44519d1894276d64710d,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,7b50cdbb21e24ff49e1054bac3a6dd60,,a43259f529d542098ab47625bf5edb71,CSA B167-16,,As per standards,Contractor,https://www.csagroup.org/store/product/B167-16/,,"CSA B167-16, Section: 6.4.1",
"CSA B167-16, Section: 6.4.2",,,6.4.2,"Frequent inspection shall be conducted according to the manufacturer's instructions for inspections. At a minimum, the components listed in items a) to h) shall be inspected during the frequent inspection. Procedures for frequent inspections carried out by maintenance in the field. Defects, malfunctions, and damage found during the inspection of items a) to h) shall be addressed by a competent person. Frequent inspections shall include
a) all operational functions;
b) lines, tanks, valves, pumps, and  other parts of air of hydraulic systems (for leakage);
c) hooks, for deformations, wear or cracking;
d) hook, latches, where present;
e) hoist ropes or load chains;
f) limit devices, for proper functioning;
g) function labels for operator; and
h) brakes.",https://www.notion.so/Fixed-Crane-28d4c40780094f97a9ff3b8920d96044,28d4c40780094f97a9ff3b8920d96044,,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-4383725d390e44519d1894276d64710d,4383725d390e44519d1894276d64710d,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,7b50cdbb21e24ff49e1054bac3a6dd60,,e718332fd61241d183067953feca4f25,CSA B167-16,,"#freqIn{AssetManual}
",Contractor,https://www.csagroup.org/store/product/B167-16/,,"CSA B167-16, Section: 6.4.2",https://www.notion.so/CSA-B167-16-955f93af3b36492c826caf4ecb71a51b
"CSA B167-16, Section: 6.5.2",,,6.5.2,"6.5.2 Inspection targets for periodic inspection
6.5.2.1 General Deficiencies shall be examined to determine whether they can affect the safe operation of the crane. At a minimum, the inspection shall include the items specified in Clause 6.4.2 (frequent inspections) as well as inspection for the following deficiencies:
a) deformed, cracked, or corroded members (e.g., transmission shaft);
b) missing or visibly loose bolts in the supporting structure;
c) cracked welds;
d) sheaves and drum cracks, distortion, and wear;
e) worn, corroded, cracked, or distorted parts such as pins, exposed or open bearings, bushings, shafting, couplings, gears, bumpers, and trolley stops;
f) glazing, scoring, warping, contamination, or wear of electrical and mechanical brakes;
g) visible damage to hooks, retaining nuts, and safety latches;
h) deformed or worn hooks (for compliance with the manufacturer's recommendations);
i) evidence of pitting or deterioration of electrical contacts;
j) interference with the free operation of buttons and controls;
k) damaged insulation on the electrical wire, cables, and controls;
I) damaged, deformed, or misaligned festoon system or bus bars;
m) malfunction of heaters (e.g., gearbox, brake, or motor heaters), as can be determined without disassembly;
n) inadequate performance or reliability of the limit switch;
o) worn and/or damaged trolley and bridge wheel assemblies;
p) cracked, distorted, or worn guided rollers (e.g., on rack and pinion hoist, on trolleys or bridges);
q) malfunction controlled lowering motion;
r) wear, cracks, or corrosion of wire rope, load chain, end clamps, or rope clips; Note: Annex 6 outlines inspection criteria for wire rope.
s) rope reeving (for compliance with crane manufacturer's specifications);
t) safeguards and shields for moving equipment;
u) legibility of critical marks and labels (e.g., warning signs, rated load labels);
v) inadequate oil level (e.g., gearbox oil or hydraulic reservoir oil); and
w) corroded, cracked, or distorted lower blocks.",https://www.notion.so/Fixed-Crane-Inspection-019447a70abb4da88342eec6dfdbca4f,019447a70abb4da88342eec6dfdbca4f,,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-4383725d390e44519d1894276d64710d,4383725d390e44519d1894276d64710d,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,7b50cdbb21e24ff49e1054bac3a6dd60,,f091049861c941b79d38dc77967cead0,CSA B167-16,,"As per standards
Note: Check the screen shot in the “requirement name” column for further details. ",Contractor,https://www.csagroup.org/store/product/B167-16/,,"CSA B167-16, Section: 6.5.2",
"(fixed gas detector), Section:",,,,"Perform Accuracy check
Test functioning of chlorine/SO2 gas detectors and alarms as follows:
1) Ensure you have operational approval before performing this task.
2) Disable the scrubber alarm.
3) Using a test gas, expose the sensor to CL2/SO2 (5 ppm).
4) Check that the appropriate sensor indicates on the receiver.
5) Press Accept / Reset button at receiver to clear alarm.
6) If the sensor has failed, initiate an immediate to replace/repair the sensor and capture repair information in a corrective work order in WMS.
7) Enable the scrubber alarms.
8) Verify PCS functionality and associated alarms, as applicable.
9) Inform operations that the task as assigned is completed.
",https://www.notion.so/Fixed-gas-detector-Inspection-For-Safe-Usage-Condition-4ab1dad32b364b62a989ee0bc1879e62,4ab1dad32b364b62a989ee0bc1879e62,,,,https://www.notion.so/fixed-gas-detector-f9e2027f0e0342e784b0229cc5e5e5b1,f9e2027f0e0342e784b0229cc5e5e5b1,,b44dcd3735a3424cb4bb33e7d0880c5c,a to be discovered doc on fixed gas detector,,,Contractor,,"- Check WMS for inspection details - suggested by Susan
Found functioning test procedure from FCL site. Checked other sites but could not find. 
- Unable to find the source of the procedure from WMS. 
- No mention of gas detector in 850
#SourceUnknown","a to be discovered doc on fixed gas detector, Section: ",
"ANSI ASC A14.3-2008 (R2018)
Ladders - Fixed - Safety Requirements",,,9.3,"The inspection must include all the major components rungs, side rails, supports, fasteners, anchors, Ladder Safety System, backside and front side clearances/obstructions, hatches, hatch opening arms, grab bars, platforms, and side rail extension anchors",,,,,,https://www.notion.so/fixed-ladder-20fd58dbecb7487ba70b8c577d3be64a,20fd58dbecb7487ba70b8c577d3be64a,,6413b173a21e42bd966b802a0bc4ff59,,,Annual or as required for underground fixed ladders,Contractor,https://www.academia.edu/39732161/ANSI_A14_3_2008_Standard_for_Ladders,Added this to address the inspection criteria for fixed ladders - described in 9.3 (ANSI A14.3),", Section: 9.3",
"CSA B335-15, Section: 8.4.2",,,8.4.2,"8.4.2 Inspection Fork inspection shall be carried out carefully, by trained personnel, with the aim of detecting any damage, failure, deformation, etc., that might impair safe use. Any fork that shows such a defect shall be withdrawn from service and shall not be returned to service unless it has been satisfactorily repaired in accordance with Clause 8.4.3.
Lift truck forks shall be inspected for the following:
a) Surface cracks — The fork shall be thoroughly examined visually for cracks and, if considered necessary, subjected to a non-destructive crack detection process, with special attention paid to the heel and welds attaching all mounting components to the fork blank. This inspection for cracks shall also include any special mounting mechanisms of the fork blank to the fork carrier, including bolt-type mountings and forged upper mounting arrangements for hook- or shaft-type carriages. The forks shall not be returned to service if surface cracks are detected.
b) Straightness of blade and shank — The straightness of the upper face of the blade and the front face of the shank shall be checked. If the deviation from straightness exceeds 0.5% of the length of the blade and the height of the shank, respectively, the fork shall not be returned to service until it has been repaired in accordance with Clause 8.4.3.
c) Fork angle (upper face of the blade to load face of the shank) — Any fork that has a deviation greater than 3° from the original specification shall not be returned to service. The rejected fork shall be reset and tested in accordance with Clause 8 4 3.
d) Difference in height of fork tips — The difference in height of one set of forks when mounted on the fork carrier shall be checked. If the difference in tip heights exceeds 3% of the length of the blade, the set of forks shall not be returned to service until repaired in accordance with Clause 8.4.3. e) Positioning lock (when originally provided) — It shall be confirmed that the positioning lock is in good repair and correct working order. If any fault is found, the fork shall be withdrawn from service until satisfactory repairs have been effected
f) Wear
i) Fork blade and shank — The fork blade and shank shall be thoroughly checked for wear, with special attention paid to the vicinity of the heel. If the thickness is reduced to 90% or less of the original thickness, the fork shall not be returned to service.
ii) Fork hooks (when originally provided) — The support face of the top hook and the retaining faces of both hooks shall be checked for wear, crushing, and other local deformations. If these are apparent to such an extent that the clearance between the fork and the fork carrier becomes excessive, the fork shall not be returned to service until repaired in accordance with Clause 8.4.3.
g) Legibility of marking (when originally provided) — If the fork marking is not clearly legible, it shall be renewed. Marking shall be renewed according to instructions from the original supplier.",https://www.notion.so/Forklift-Inspection-ab77160fc5ef4818ad4bab237f61eba6,ab77160fc5ef4818ad4bab237f61eba6,,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-66b52dd8077b4725bc183b998d66c207,66b52dd8077b4725bc183b998d66c207,https://www.notion.so/forklift-c8f9f61245874c79b021444f950c804f,c8f9f61245874c79b021444f950c804f,,4ea54cdcaa254e67b2bfd5f7554a17d0,CSA B335-15,,"As per manufacturer, and at least once a year, prior to use
#perOEM",Contractor,https://www.csagroup.org/store/product/B335-15/,Clause 8.4.3 is for repair and testing related.,"CSA B335-15, Section: 8.4.2",
"CSA B335-15, Section: 8.2.3",,,8.2.3,"8.2.3 Service report inspections
Service report inspections consist of three types:
a) A planned maintenance inspection, which is carried out by a trained, qualified maintenance technician. This inspection should occur in accordance with the manufacturer's recommended interval. In the absence of such recommendations, it should be conducted approximately every 200 h.
b) An annual planned maintenance inspection, which is carried out by a trained, qualified maintenance technician. This inspection should occur approximately every 2000 h, or annually, whichever comes first.
c) A lifting capacity inspection, which is a planned maintenance inspection carried out by a trained, qualified maintenance technician. This inspection is carried out to determine whether the lift truck is capable of handling the maximum load specified on the nameplate. This inspection shall be carried out prior to the lift truck being used for the first time, each time the lift truck is acquired by a new owner, and as often as recommended by the manufacturer, but no less than once per year.","https://www.notion.so/Forklift-Hourly-Service-Report-Inspection-76e017a72409410f86575a30b88f1b72, https://www.notion.so/Forklift-Pre-Use-Service-Report-Inspection-d0c5f3a4ffda41478ed280da23f80a7b, https://www.notion.so/Forklift-2000hr-Annually-Service-Report-Inspection-5cc9ac040bcf458ebc4ed5bfa9acf67d","76e017a72409410f86575a30b88f1b72,d0c5f3a4ffda41478ed280da23f80a7b,5cc9ac040bcf458ebc4ed5bfa9acf67d",,https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-66b52dd8077b4725bc183b998d66c207,66b52dd8077b4725bc183b998d66c207,https://www.notion.so/forklift-c8f9f61245874c79b021444f950c804f,c8f9f61245874c79b021444f950c804f,,97d4c71906a6464a90168d51011349cc,CSA B335-15,,As per standards,Contractor,https://www.csagroup.org/store/product/B335-15/,,"CSA B335-15, Section: 8.2.3",
"CAN/CGSB 2-65.7-2007, Section: ",,,,"Inspect for rips or signs of wear. Replace immediately if rips or holes are found.

For soiled lifejackets:
Use mild soap and water.
Rinse thoroughly.
Air-dry out of direct sunlight and away from direct heat","https://www.notion.so/Life-Jacket-Inspection-Annually-31c50038d4b346bdb3ff02309fdc557f, https://www.notion.so/Life-Jacket-Annual-Inspection-fb3d1ae705a04f66aa97cbe18b62ef76","31c50038d4b346bdb3ff02309fdc557f,fb3d1ae705a04f66aa97cbe18b62ef76",,,,https://www.notion.so/life-jacket-d3984c9a53d147fe8155d6d6e9a94657,d3984c9a53d147fe8155d6d6e9a94657,,95438dc1d3ab48e1be281aa24a49a023,CAN/CGSB 2-65.7-2007,,Annually,Staff,,"#CannotAccessMissingDetail
New activity created to meet the requirement. 
An activity not required by standards or reg BUT important- has been kept to be performed annually and tagged here. ","CAN/CGSB 2-65.7-2007, Section: ",
"N/A - Youtube, Section: ",,,,"Inspect for holes, cracks or signs of damage (including UV). Replace immediately if any is found.
",https://www.notion.so/Life-Ring-Visual-Annual-Inspection-943d76c6ca104877846b7cb0984e432b,943d76c6ca104877846b7cb0984e432b,,,,https://www.notion.so/life-ring-033f9bf7c8e6495dae8ad0f1e2f8126b,033f9bf7c8e6495dae8ad0f1e2f8126b,,899500b99c27443e8758e04b4ccdcd11,N/A - Youtube,,#perOEM,Staff,https://www.youtube.com/watch?v=4gEdbgOMKSg,"-No reference available. 
-Susan to find reference. ( as per last discussion)
- Susan provided youtube link.
#SourceUnknown
TH: I think we should have our own SOP then","N/A - Youtube, Section: ",
"CSA B311-02, Section: Appendix A",,,Appendix A,Refer to attached picture of Appendix A,,,,,,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,041abdc4b40f469f9dc83da1264f19ac,CSA B311-02,,,,https://www.csagroup.org/store/product/CAN%25100CSA-B311-02/,Not related to maintenance,"CSA B311-02, Section: Appendix A",
"TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 4.3",,,4.3,"4.3 Inspection and Testing of Safety Brake
4.3.1 The inspection and testing of a safety brake on an endless belt type manlift required in subsection 33.(2) of the Regulation shall ensure compliance with clause 5.2.2.3 of CSA Standard B311-M1979, Safety Code for Manlifts and Supplement No. 1 1984.
4.3.2 The inspection and testing of a safety device and overspeed governor on a counter-balanced or power type manlift required in subsection 33.(3) of the Regulation shall ensure compliance with clause 6.11.8 or 7.6.8.2, as the case may be, of CSA Standard B311-M1979, Safety Code for Manlifts and Supplement No.1 1984.
","https://www.notion.so/Manlift-Safety-Break-96252df7007c4e52a5a0dffe1e103679, https://www.notion.so/Manlift-Safety-Break-Frequency-c446f30518a647d0ace426e59ef83c67","96252df7007c4e52a5a0dffe1e103679,c446f30518a647d0ace426e59ef83c67","https://www.notion.so/CSA-B311-M1979-Section-5-2-2-3-3-1-3-frequency-7fe410026aec481fb174aceaacac3eb9, https://www.notion.so/CSA-B311-M1979-Section-7-6-8-2-3-1-3-frequency-c9711b0bdade480b963efb2fc9cb9d9b",,,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,Yes,b9ac309f4ff24e57b22d5773935e69f3,TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019,,"As per part category 
#freqIn{8.6.1.7.(a).(2) }",Contractor,https://www.tssa.org/en/elevating-devices/resources/Documents/ED-277-19-CAD.pdf,,"TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 4.3",
"TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 8.6.1.7",,,8.6.1.7,"8.6.1.7
The frequency of maintenance and tests shall conform to the following;
(a) Where a Maintenance Control Program is in effect,
(1) the maintenance frequency shall be established as prescribed in 8.6, but in no case shall the interval between maintenance visits to an elevating device excluding wind tower elevators exceed three months, nor shall it exceed the manufacturer’s specified limit or other imposed limit which is less than three months (see CAD 2.9 for example of a one month limit), and

(a) category 1 tests are performed annually,
(b) category 3 tests are performed every 3 years and
(c) category 5 tests are performed every 5 years.",https://www.notion.so/Manlift-Quarterly-Inspection-e4f7b4ed85b545f7b9eaaffc416c863e,e4f7b4ed85b545f7b9eaaffc416c863e,https://www.notion.so/CSA-B311-1984-R2002-Section-Appendix-C2-8cfc82a567d9411d9c76e4eedc1d4f0f,,,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,No,b23827458f7346ea881f8ae586f14c6a,TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019,,"As per part category
#freqIn{AssetManual}",Contractor,https://www.tssa.org/en/elevating-devices/resources/Documents/ED-277-19-CAD.pdf,"Case where both the manual and given frequency has been ,mentioned 
+ The maintenance references are as per specifics of the asset- see 8.6.1.2A

AJ- July 13: No Activity related to Man lift was present in the sheet. New activity to fill the maintenance log has been created. 

A,b,c are not covered specifically in any standards. ","TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 8.6.1.7",
"CSA B311-M1979, Section: 5.2.2.3
-3.1.3 (frequency)",,,"5.2.2.3
-3.1.3 (frequency)","5.2.2.3 Safety Brake
5.2.2.3.1 A safety brake that is mechanically applied and manually released shall be applied directly to the head pulley. This safety brake shall be capable of stopping and holding the head pulley when the descending side of the belt is loaded with 110 kg on each step and at 120% of rated speed. This safety brake shall be automatically applied and cut the power to the motor and operating brake when the rated speed is exceeded by 20% or upon occurrence of reverse rotation of the head pulley.
5.2.2.3.2 The safety brake shall be applied automatically in the event of line power disruption or interruption whether induced by the over-speed detection device, the reverse rotation device, or other means. The manual release of the safety brake shall be effected by means available only to qualified personnel.
5.2.2.3.3 The speed over the sensing device shall be sealed after the acceptance test.",https://www.notion.so/Manlift-Safety-Break-96252df7007c4e52a5a0dffe1e103679,96252df7007c4e52a5a0dffe1e103679,,https://www.notion.so/TSSA-Elevating-Devices-Code-Adoption-Document-Amendment-277-19-May-3-2019-Section-4-3-b9ac309f4ff24e57b22d5773935e69f3,b9ac309f4ff24e57b22d5773935e69f3,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,7fe410026aec481fb174aceaacac3eb9,CSA B311-M1979,,#freqIn{https://www.notion.so/e8aab4d346a04952ab9424b0018775b3},Contractor,https://www.csagroup.org/store/product/B311-M1979/,"TH: I would break this into 2 rows - one for section 5 and one for 3. In the section 5 row, you would still refer to section 3 for frequency (Done)","CSA B311-M1979, Section: 5.2.2.3
-3.1.3 (frequency)",
"CSA B311-1984 (R2002), Section: Appendix C2",,,Appendix C2,"C2. Manuals 
The manufacturer should supply an instruction, operating, and maintenance manual, and the owner of the manlift should comply with the recommendations of the manufacturer in regard to periodic maintenance checks. The owner should keep a record of these maintenance checks in the form of a log in which all entries are signed by the person who carried out the checks.",https://www.notion.so/Manlift-Maintenance-Log-8d93d718ece24469a10db28edbfc7cec,8d93d718ece24469a10db28edbfc7cec,,https://www.notion.so/TSSA-Elevating-Devices-Code-Adoption-Document-Amendment-277-19-May-3-2019-Section-8-6-1-7-b23827458f7346ea881f8ae586f14c6a,b23827458f7346ea881f8ae586f14c6a,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,8cfc82a567d9411d9c76e4eedc1d4f0f,CSA B311-1984 (R2002),,#perOEM,Contractor or Staff,https://www.csagroup.org/store/product/B311S1-1984/,AJ- July 13: No Activity related to Man lift was present in the sheet. New activity to fill the maintenance log has been created. ,"CSA B311-1984 (R2002), Section: Appendix C2",
"CSA B311-M1979, Section: 7.6.8.2
-3.1.3 (frequency)",,,3.1.3,"3.1.3 The manufacturer shall supply an instruction, operating, and maintenance manual, and the owner of the manlift shall comply with the recommendations of the manufacturer in regard to periodic maintenance checks. The owner shall keep a record of these maintenance checks in the form of a log in which all entries are signed by the person who carried out the checks.",,,,https://www.notion.so/TSSA-Elevating-Devices-Code-Adoption-Document-Amendment-277-19-May-3-2019-Section-4-3-b9ac309f4ff24e57b22d5773935e69f3,b9ac309f4ff24e57b22d5773935e69f3,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,c9711b0bdade480b963efb2fc9cb9d9b,CSA B311-M1979,,#perOEM,,https://www.csagroup.org/store/product/B311-M1979/,Its about the car safety- not the maintenance of it. ,"CSA B311-M1979, Section: 3.1.3",
"CSA B354.1-04, Section: 5.3.4",,,5.3.4,"Annual inspection shall be performed by a qualified person. Items to be inspected shall include, but not limited to, the following:
(a) outrigger and outrigger housing (boxes), including the condition and torque of the ring gear bolts;
(b) platform rotating, elevating, and levelling mechanisms;
(c) main turret rotating mechanism, including the condition and torgue of the ring geat bolts;
(d) brakes
(e) all tie down points
(f) boom section, pins, cylder rod ends, and levelling devices;
(g) switches for wiring and all electrical connections;
(h) manufacturer's outstanding safety bulletins;
(i) other items as specified by the manufacturer",https://www.notion.so/Man-Lift-Annual-Inspection-6658820b2c29433f9fbedf65025e0989,6658820b2c29433f9fbedf65025e0989,,,,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,d09916b65fac4f1186b54e4ef5b54036,CSA B354.1-04,,Annually,Contractor,https://www.csagroup.org/store/product/2702056/,,"CSA B354.1-04, Section: 5.3.4",
"CSA B354.1-04, Section: 5.3.3",,,5.3.3,"5.3.3 Periodic inspection This inspection shall be performed after 200 h of use or after a period recommended by the manufacturer, whichever comes first. The interval between inspections may vary depending on the aerial platform's activity, severity of use, and the working environment. Periodic inspections shall be performed by a qualified person. This inspection shall include the requirements of Clause 5.3.2 and items that shall include, but not be limited to, the following: 
(a) loose bolts, nuts, and pins;
(b) hydraulic oil filter for cracks and leaks, metal chips or pieces on the filter that may denote failure in the pumps, motors, or cylinder, evidence of rubber particles on the filter element that may indicate deterioration of hose, 0-ring, or other rubber components;
(c) fuel filter for function;
(d) fan belts for adjustment and excessive wear;
(e) hydraulic hoses for cracks, leaks, and blistering, and evidence of excessive abrasion on all flexible and rigid hoses; (
f) hydraulic pumps and motors for cracks or leaks, leaks at joints, seal leaks, loss of operating speed, excessive heating of fluid, and loss of pressure;
(g) hydraulic cylinders for drifting caused by fluid leak across the holding valve or the piston, rod seal leakage, scored and nicked cylinder rods, dented barrel, and unusual noises or vibration;
(h) all control mechanisms for wear and response time;
(i) interlocks, slope warning system, and limit switches;
(j) all chain and cable mechanisms for adjustment and worn or damaged parts; and
(k) other items as specified by the manufacturer.",https://www.notion.so/Man-Lift-200-Hr-Inspection-109846bd5294440caf8342cdeb73fc02,109846bd5294440caf8342cdeb73fc02,,,,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,378a4f76312a40a28afe54f93e48e5d9,CSA B354.1-04,,"200hrs OR as per manufacturer 
#freqIn{AssetManual}",Contractor,https://www.csagroup.org/store/product/2702056/,SC: Standard refers to a “qualified person”,"CSA B354.1-04, Section: 5.3.3",
"CSA B354.1-04, Section: 5.3.2",,,5.3.2,"5.3.2 Daily prestart inspection All components that have a direct bearing on the safe operation of the aerial platform and whose status can change from day to day with use shall be visually inspected on a daily basis by the operator. In addition, these components, where applicable, practicable, and possible, shall be observed during operation for defects that could affect the safe operation of the aerial platform. Items such as, but not restricted to, the following shall be regularly inspected for defects and shall also be observed during operation and between regular inspections for defects:
(a) tires and wheels for cuts, obvious loose or missing lug nuts, broken tie rods, and adequate tire pressure;
(b) all fluids, such as fuel, engine oil, coolants, and battery fluid, for proper level;
(c) hydraulic hoses for leaks or loose connections;
(d) all quick disconnect hoses for proper connection;
(e) structural components for obvious damage, broken parts, and cracks in welds;
f) ladder or steps for damage and debris (ladder shall be firmly secured to the platform);
(g) beacon and warning lights for missing and defective lens or caps;
(h) operating and emergency controls for proper function;
(i) placards and warning signs for cleanliness, readability of control markings, rated capacity, and operating manual(s);
(j) platform assembly for loose and missing parts, missing or loose lock pins and bolts, and proper placement of the footswitch;
(k) platform floor for structural damage, holes or cracked welds, dirt, grease, or oil that can create a hazard;
(I) access gate for ease of movement, missing parts, latched and locking capabilities;
(m) fall protection system;
(n) safety devices for malfunction;
(o) proper operation of elevating, rotating, and drive functions;
(p) brakes for stopping capabilities;
(q) a horn for proper function;
(r) outriggers and stabilizers; and
(s) other items as specified by the manufacturer.","https://www.notion.so/Manlift-Daily-Pre-use-Inspection-494dd26bebfd4bec84e59dc6cbcbd6d0, https://www.notion.so/Manlift-Maintenance-Log-8d93d718ece24469a10db28edbfc7cec","494dd26bebfd4bec84e59dc6cbcbd6d0,8d93d718ece24469a10db28edbfc7cec",,,,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,984d27c22a124110b0aec6db691f9cac,,ece1881b7f454457a51e059906e658e6,CSA B354.1-04,,Prior to use daily,Staff,https://www.csagroup.org/store/product/2702056/,,"CSA B354.1-04, Section: 5.3.2",
"ANSI Z358.1-2014, Section: ",,,,"Inspect:
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Ensure unit is protected from freezing and is not exposed to temperatures over 38 degrees C
- Ensure unit has the capacity to deliver immediate flushing fluid without being injurious to the user
",https://www.notion.so/Personal-Eyewash-Portable-36d807bce2cc488fa1b5919a8be96288,36d807bce2cc488fa1b5919a8be96288,,,,,,,1aa250e630f941c0b261564ac8b3226f,ANSI Z358.1-2014,,,Staff,https://webstore.ansi.org/Search/Find?in=1&st=z358.1,#CannotAccessMissingDetail,"ANSI Z358.1-2014, Section: ",
